source_group_id,decision,bibliographic_status,location_status,license_status,evidence_url,audit_note
SDX007,retain_verified,doi_and_title_verified,row_level_tables_1_2_match,cc_by_4_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC7564863/,"The nine PLA, PLA/Morin, and PHA records match the source tables."
SDX010,retain_corrected,doi_and_title_verified,row_level_table_4_match_and_type_corrected,cc_by_4_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC4660953/,The 21 values match Table 4 and are corrected from static to apparent contact angles; the extraction note is updated.
SRC001,retain_reextracted,doi_and_title_verified,row_level_tables_2_3_reextracted,source_terms_recorded,https://pmc.ncbi.nlm.nih.gov/articles/PMC2894349/,Thirty packed-bed capillary-rise/Washburn-derived angles were re-extracted; unsupported legacy treatment durations were removed.
SRC002,retain_corrected,doi_and_title_verified,values_located_angle_types_corrected,non_open_citation_only,https://www.sciencedirect.com/science/article/abs/pii/S0169433212003522,Numerical values were retained; water is corrected to advancing and the other reported liquids to equilibrium.
SRC004,retain_reextracted,doi_and_title_verified,supplement_table_s2_reextracted,non_open_citation_only,https://www.nature.com/articles/nmat3545,Forty-five values were re-extracted from Supplementary Table S2 and are explicitly typed as advancing angles.
SRC012,retain_reextracted,doi_and_title_verified,main_table_1_reextracted,license_requires_verification,https://pubs.rsc.org/en/content/articlehtml/2015/ta/c4ta06944g,Eight static organic-liquid values were re-extracted from main-text Table 1; nonmatching water/durability states were not merged.
SRC013,retain_verified,doi_and_title_verified,row_level_table_match,cc_by_nc_3_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC9069492/,"All 18 local records match the reported table, including repeat counts and uncertainties."
SRC014,retain_reextracted,doi_and_title_verified,tables_2_7_reextracted_and_deduplicated,cc_by_4_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC9993463/,Twenty-seven values were re-extracted from Tables 2 and 7; OPEN_CELLULOSE_ESTER is removed as a duplicate source identity.
SRC016,retain_reextracted,doi_verified_title_corrected,primary_table_2_reextracted,source_terms_recorded,https://pmc.ncbi.nlm.nih.gov/articles/PMC4077624/,Twelve primary roughness-corrected paper values were retained; six secondary PS/PDMS values were explicitly excluded.
SRC017,retain_verified,doi_and_title_verified,row_level_table_1_match,cc_by_4_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC5936788/,"All eight liquid angles, 5-uL volume, and uncertainties are traceable."
SRC018,retain_reextracted,doi_verified_title_corrected,table_2_reextracted,cc_by_4_0,https://www.mdpi.com/2079-6412/11/6/663,Twenty table-defined coating-liquid values were re-extracted; the paper does not specify static/advancing/receding mode and this is preserved.
SRC019,retain_reextracted,doi_and_title_verified,table_1_reextracted,cc_by_4_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC8070550/,Sixty composition-by-ageing-by-liquid values were re-extracted with their ten-measurement replication metadata.
SRC020,retain_reextracted,doi_verified_title_corrected,table_4_reextracted_with_censoring,cc_by_4_0,https://www.utupub.fi/server/api/core/bitstreams/d031b2af-c68f-4760-8950-cf56324c46aa/content,Fifteen point-valued equilibrium angles were retained; nine <0.1-degree observations remain left-censored and are ineligible for ordinary regression.
SRC021,retain_reextracted,doi_and_title_verified,tables_4_5_reextracted_with_censoring,cc_by_4_0,https://pmc.ncbi.nlm.nih.gov/articles/PMC7998800/,Thirty point-valued angles were retained; two <10-degree observations remain left-censored rather than converted to point values.
