reference_id,study,year,scope,input_features,model_or_physics,validation_reported,reported_performance,relevance_and_limit_for_current_study,doi
LIT01,"Peta, Surface Wettability Modeling and Predicting via Artificial Neural Networks",2025,"EDM-textured surfaces in one controlled manufacturing setting","EDM process variables and measured surface-topography parameters","Artificial neural networks with architecture and activation comparisons","Within-study prediction","R2 above 0.9","Shows strong same-process prediction but does not test publication-disjoint transfer across heterogeneous materials and protocols.",10.3390/ma18010191
LIT02,"Fu et al., Wettability prediction and feature importance analysis for laser-chemical induced superwetting surface based on machine learning",2025,"Laser-chemical superwetting surfaces","Micro/nanoscale morphology and molecular-scale surface-chemistry descriptors","XGBoost with SHAP interpretation","Study-specific training and validation including newly prepared surfaces","Validation RMSE 6.55 degrees; MAE 4.61 degrees; R2 0.99","Demonstrates the value of direct morphology and chemistry descriptors in a controlled fabrication domain; such descriptors are largely missing from cross-publication records.",10.1016/j.jmapro.2025.07.083
LIT03,"Sena et al., A Machine Learning Model for the Prediction of Water Contact Angles on Solid Polymers",2025,"Water contact angle for 23 polymers and 3 copolymers","Experimental surface energy and roughness plus molecular descriptors and computed solvation free energy","XGBoost with gain and SHAP analyses","Within-collection supervised validation","MAE below 5 degrees; reported fits R2 0.82-0.86","Broadens polymer chemistry coverage but predicts one liquid in a compact curated domain rather than masked multi-liquid transfer across sources.",10.1021/acs.jpcb.4c06608
LIT04,"Shaw et al., Accurate and Robust Static Hydrophobic Contact Angle Measurements Using Machine Learning",2024,"Automated measurement from hydrophobic droplet images","Synthetic Young-Laplace half-drop contours including roughness, gravity, scale and reflections","Machine-learning image/contour analysis","Synthetic training with experimental benchmarking","Estimated error about 1 degree for angles above 110 degrees","Addresses image-based angle measurement rather than material-to-liquid contact-angle prediction; it illustrates how controlled synthetic physics can yield much lower errors.",10.1021/acs.langmuir.4c01050
LIT05,"Pan et al., Machine learning-based shale wettability prediction: Implications for H2, CH4 and CO2 geo-storage",2024,"Shale/brine/gas advancing and receding angles","Mineralogy, total organic carbon, gas type, pressure, temperature and brine ionic strength","XGBoost with SHAP","Random train-test ratios within a domain-specific collection","XGBoost R2 0.946-0.999","High accuracy is tied to a reservoir-specific feature space and random within-domain splitting; it is not directly comparable with source-disjoint functional-surface transfer.",10.1016/j.ijhydene.2023.12.298
LIT06,"Mwakipunda et al., Improving wettability estimation in carbonate formation using machine learning algorithms",2025,"Carbonate formations for underground hydrogen storage","Pressure, temperature, salinity and formation grouping","Extreme Learning Machine-Mixed Effects Random Forest compared with XGBoost and Random Forest","A 70/30 split of 702 literature-derived observations","ELM-MERF reported as the best comparator","The mixed-effects design explicitly addresses grouped reservoir data, but its carbonate-only variables and evaluation protocol differ from target-masked cross-material prediction.",10.1016/j.ijhydene.2025.02.342
LIT07,"Roosta et al., Estimating advancing and receding contact angles for pure and mixed liquids on smooth solid surfaces using the PCP-SAFT equation of state",2025,"Smooth solids with pure and mixed liquids","Liquid thermodynamic properties and fitted solid-liquid weighting parameter","PCP-SAFT equation-of-state contact-angle model","Validation against 104 experimental contact angles","AARD 7.4% advancing and 10.6% receding before minor parameter optimization","Provides a recent interpretable physical alternative for smooth surfaces, while the present work uses OWRK as a nonnegative probe-derived anchor.",10.1039/D4CP04054F
LIT08,"Pan et al., Robust measurement of surface tension and contact angle using physics-informed autoencoders",2026,"Pendant and sessile drop image analysis","Droplet profiles constrained by the Young-Laplace equation","Online and offline physics-informed autoencoders","Synthetic-noise and experimental profile tests","Surface-tension error below 0.2 mN/m for the reported water test","Shows a stronger form of equation-constrained learning for measurement extraction; it does not solve cross-material contact-angle prediction from sparse literature metadata.",10.1016/j.colsurfa.2025.138972
LIT09,"Otchere et al., A Novel Empirical and Deep Ensemble Super Learning Approach in Predicting Reservoir Wettability via Well Logs",2022,"Reservoir wettability inferred from well-log variables","Petrophysical well-log descriptors and an empirical wettability index","Deep ensemble super learner","Reservoir-specific train/test evaluation","Study reports improved performance after adding the empirical index","Illustrates physics/empirical feature construction for a specific reservoir task; its target definition and data hierarchy differ from direct contact-angle regression.",10.3390/app12062942
LIT10,"Song et al., Development of ensemble learning techniques and sequential model-based optimization for enhancing the generalizability of shale wettability predictions",2024,"Shale/mineral-alkane-water contact angles under reservoir conditions","Rock/mineral composition and thermophysical conditions","XGBoost and other learners with SHAP and sequential optimization","Literature plus newly measured domain-specific observations","XGBoost R2 reported as 0.913 in the indexed study summary","Explicitly targets shale-model generalizability but remains within a reservoir domain and does not establish publication-disjoint transfer across unrelated functional surfaces.",10.1016/j.marpetgeo.2024.107010
