"comment_id","reviewer","topic","assessment","required_action","evidence_or_output","status","manuscript_location","response_location"
"R1-01","Reviewer 1","Recent literature review","Correct","Expand the Introduction across physical models, controlled-process machine learning, cross-material prediction, and physics-guided trustworthy validation; add the two requested 2025 studies and recent peer-reviewed work.","recent_literature_comparison_v4_3.csv and Table S15","completed","Introduction","Reviewer 1 Comment 1"
"R1-02","Reviewer 1","Dataset source and liquid detail","Correct","Audit source provenance and report distributions by source, liquid, material family, year, angle type, method, quality, and missing conditions.","source_provenance_decisions_v4_3.csv and dataset_distribution_v4_3.xlsx","completed","Section 2.1 and Supplementary","Reviewer 1 Comment 2"
"R1-03","Reviewer 1","OWRK equation formatting","Correct","Replace inline text with an editable Word mathematics object and define every symbol and unit.","Editable OMML equations","completed","Section 2.2","Reviewer 1 Comment 3"
"R1-04","Reviewer 1","Network and implementation parameters","Correct","Add architecture, activation, dropout, optimizer, loss, stopping, gradient clipping, seeds, and tree hyperparameters.","Model parameter table","completed","Section 2.3, Table 2 and Tables S7-S8","Reviewer 1 Comment 4"
"R1-05","Reviewer 1","Low R2 and practical accuracy","Correct in substance","Discuss task difficulty and report fractions within 10 and 20 degrees; position the model as screening rather than metrology.","practical_accuracy_v4_3.csv","completed","Results and Discussion","Reviewer 1 Comment 5"
"R1-06","Reviewer 1","Critical limitations and validation","Correct","Add source-learning curve, novelty strata, strict leave-one-liquid diagnostics, and surface/source cluster bootstrap.","v4.3 robustness outputs","completed","Sections 2.6, 3.4-3.6 and Supplementary","Reviewer 1 Comment 6"
"R1-07","Reviewer 1","Quantitative conclusions","Correct","Rewrite as four concise quantitative bullet points with negative and boundary findings.","Revised conclusion","completed","Conclusions","Reviewer 1 Comment 7"
"R2-01","Reviewer 2","Excess numerical precision","Correct","Round degree metrics to one decimal and R2 to two decimals.","Numeric consistency audit","completed","Abstract Results Tables","Reviewer 2 Comment 1"
"R2-02","Reviewer 2","Source-disjoint definition","Correct","Define source-disjoint and surface-disjoint explicitly.","Revised definition","completed","Introduction and Section 2.4","Reviewer 2 Comment 2"
"R2-03","Reviewer 2","v4.0 origin and quality control","Correct","State that v4.0 is an internally curated normalized collection and document DOI/table checks, units, aliases, angle types, duplicate flags, target masking, IDs, and hashes.","Source audit and data-flow figure","completed","Section 2.1","Reviewer 2 Comment 3"
"R2-04","Reviewer 2","Fixed open external set and implicit leakage","Correct","Rename as fixed cross-source external confirmation set, state that it influenced early architecture, and exclude it from all current selection and thresholding.","External-data access tests and revised wording","completed","Sections 2.4 3.2 4.2","Reviewer 2 Comment 4"
"R2-05","Reviewer 2","Weak neural expert","Correct","Explain limited stability with 240 samples from eight sources and report the near-zero final fusion weight; remove deep-learning superiority claims.","Locked expert weights","completed","Sections 3.5 and 4","Reviewer 2 Comment 5"
"R2-06","Reviewer 2","Bootstrap interval crosses zero","Correct","Use directional-improvement wording only and explicitly state that source-level significance is not established.","paired_bootstrap_v4_3.csv","completed","Section 3.3 and Discussion","Reviewer 2 Comment 6"
"R2-07","Reviewer 2","Quantitative no-use threshold","Not supportable from current evidence","Report roughness coverage and confounding; do not invent a roughness cutoff; mark rough porous anisotropic and chemically heterogeneous surfaces as unvalidated.","Metadata completeness and applicability rules","completed","Sections 2.1 2.5 4.2","Reviewer 2 Comment 7"
"R2-08","Reviewer 2","Why residual rather than direct XGBoost","Correct","Explain pre-selection by nested source CV, physical anchoring, and avoidance of confirmation-set reselection.","Nested CV and model selection log","completed","Sections 3.3 and 4","Reviewer 2 Comment 8"
"R2-09","Reviewer 2","Only eight sources and exotic OOD surfaces","Correct","Quantify source-learning uncertainty and novelty strata; explicitly decline claims for novel 2D and bio-inspired surfaces without supporting data.","Learning curve and novelty strata","completed","Sections 3.6 and 4.2","Reviewer 2 Comment 9"
"R2-10","Reviewer 2","Negative neural result in conclusion","Correct","Include the neural expert's near-zero robust fusion contribution as a negative result.","Selected model record","completed","Conclusions","Reviewer 2 Comment 10"
"R2-11","Reviewer 2","Source-level statistical power","Correct","State the limited source-level power and need for additional independent sources.","Source-cluster bootstrap","completed","Conclusions","Reviewer 2 Comment 10"
"R3-01","Reviewer 3","Data construction distributions and roughness","Correct","Add inclusion/exclusion flow, distributions, provenance locations, roughness and porosity completeness.","Source audit and distribution workbook","completed","Section 2.1 and Supplementary","Reviewer 3 Comment 1"
"R3-02","Reviewer 3","Generalization to known new material and new liquid classes","Correct","Report known-known, new-material, new-liquid, and doubly new strata; add strict leave-one-liquid diagnostics.","generalization_strata_metrics_v4_3.csv and strict_leave_one_liquid_metrics_v4_3.csv","completed","Section 3.6 and Supplementary","Reviewer 3 Comment 2"
"R3-03","Reviewer 3","OWRK equation appears as code","Correct","Use editable Word mathematics and symbol definitions.","Editable OMML equation","completed","Section 2.2","Reviewer 3 Comment 3"
"R3-04","Reviewer 3","Version-number consistency","Correct","Define schema v4.0, model v4.1, robustness v4.2, and revision/reproducibility package v4.3 consistently.","Version audit","completed","Methods Data Availability Supplementary","Reviewer 3 Comment 4"
"R3-05","Reviewer 3","Too many abstract numbers","Correct","Use a 160-180 word abstract with only two central performance values.","Revised abstract","completed","Abstract","Reviewer 3 Comment 5"
