source_id,title,url,doi,license_or_access,publication_year,source_scope,expected_use,verification_status,download_status,notes
OPEN_MENDELEY_POM_PTFE,POM and PTFE contact-angle multi-liquid dataset,https://data.mendeley.com/datasets/8x5xdw5fm3,10.17632/8x5xdw5fm3.1,CC BY 4.0,2023,POM/PTFE probe measurements,probe-assisted and external validation,verified,landing_only,Landing page retained at data/raw/mendeley/landing.html; tabular download still required.
OPEN_DROPLETLAB_VALIDATION,Droplet Lab validation dataset,https://dropletlab.com/validation/dataset/,,CC BY 4.0 for academic/research use,2025,glass nylon PMMA Teflon validation,zero-shot and probe-assisted,verified,raw_zip_images_only,"Full-Dataset.zip retained with SHA256 in data/raw/README.md; downloaded archive contains processed images, not a tabular measurement file."
OPEN_CELLULOSE_ESTER,Cellulose ester wettability data,https://pmc.ncbi.nlm.nih.gov/articles/PMC9993463/,10.1039/D2RA08165B,CC BY 3.0 Unported,2023,cellulose ester water formamide diiodomethane,probe-assisted,verified,xml_extracted,"JATS table tab2 extracted; article reports sessile-drop measurements at 20 C and permits reuse with attribution."
OPEN_CROSS_MATERIAL_2026,Cross-material contact-angle compilation,https://pmc.ncbi.nlm.nih.gov/articles/PMC13031877/,10.1038/s41598-026-40965-x,CC BY 4.0,2026,cross-material measurements,zero-shot external diagnostic,verified,xml_extracted,"Table 1 exact/static rows extracted; range-only, transition, mixture, and unsupported-liquid rows excluded."
OPEN_POLYMER_SURFACES_2023,Polymer surface contact-angle table,https://pmc.ncbi.nlm.nih.gov/articles/PMC10504009/,10.55730/1300-0527.3518,CC BY 4.0,2023,17 polymer surfaces with water formamide and diiodomethane,zero-shot external diagnostic,verified,xml_extracted,"Table 2 exact values extracted; the source table does not specify advancing/receding status, so rows remain diagnostic."
OPEN_TEXTILE_ANTI_WETTING_2019,Textile anti-wetting surface contact and shedding angles,https://pmc.ncbi.nlm.nih.gov/articles/PMC6473839/,10.3390/polym11030498,CC BY 4.0,2019,16 polymer film and nonwoven surfaces with water formamide and methylene iodide,probe-assisted external validation,verified,xml_extracted,"Table 6 static CA and SD extracted from the CA columns; shedding-angle columns are excluded because they are a different target property."
OPEN_PLA_FILMS_2021,PLA film contact angles across substrates and solvents,https://pmc.ncbi.nlm.nih.gov/articles/PMC8707572/,10.3390/polym13244289,CC BY 4.0,2021,PLA films and substrate controls with water formamide and diiodomethane,probe-assisted external validation,verified,xml_extracted,"Table 1 contains 4 substrates x 4 conditions x 3 liquids with mean and SD; the article reports at least 15 drops on 3 samples."
OPEN_CARBON_GLYCAN_2016,Carbon surface functionalization contact angles,https://pmc.ncbi.nlm.nih.gov/articles/PMC4843010/,10.1038/srep24840,CC BY 4.0,2016,carbon surfaces with water glycerol and diiodomethane,probe-assisted external validation,verified,xml_extracted,"Table 4 contains 6 surfaces and three static contact-angle columns; reported SFE is treated as angle-derived rather than independent."
OPEN_FACEMASK_2023,Reusable facemask contact-angle table,https://pmc.ncbi.nlm.nih.gov/articles/PMC10183065/,10.18502/ijm.v15i2.12482,CC BY-NC 4.0 for non-commercial research,2023,seven facemask surfaces with water formamide and diiodomethane,probe-assisted external validation,verified,xml_extracted,"Table 2 contains triplicate static angles; non-commercial license requires attribution and must be preserved in any public derived-data release."
OPEN_CHITOSAN_GELATIN_2022,Chitosan-gelatin film wettability table,https://pmc.ncbi.nlm.nih.gov/articles/PMC9456065/,10.3390/ijms23179700,CC BY 4.0,2022,biopolymer films with glycerin and diiodomethane,zero-shot external validation,verified,xml_extracted,"Table 3 contains seven static film surfaces and two liquids; glycerin is canonicalized to glycerol and calculated SFE is not used as an independent input."
