source_group_id,source_title,title_correction,original_table_location,surface_label,material,treatment,state,liquid,contact_angle_deg,reported_value_text,censor_type,contact_angle_type,contact_angle_std_deg,contact_angle_range,replicate_n,measurement_method,droplet_volume_uL,license,DOI,keep_reason,exclusion_reason
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:0","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:0; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,water,123.4,123.4 +/- 2.3,none,reported contact angle; static/advancing/receding mode not specified,2.3,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:0","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:0; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,glycerol,105.8,105.8 +/- 1.4,none,reported contact angle; static/advancing/receding mode not specified,1.4,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:0","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:0; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,ethylene glycol,127.3,127.3 +/- 1.1,none,reported contact angle; static/advancing/receding mode not specified,1.1,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:0","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:0; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,diiodomethane,113.6,113.6 +/- 1.3,none,reported contact angle; static/advancing/receding mode not specified,1.3,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 2:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 2:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,water,135.3,135.3 +/- 0.8,none,reported contact angle; static/advancing/receding mode not specified,0.8,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 2:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 2:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,glycerol,110.4,110.4 +/- 1.3,none,reported contact angle; static/advancing/receding mode not specified,1.3,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 2:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 2:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,ethylene glycol,128.6,128.6 +/- 1.5,none,reported contact angle; static/advancing/receding mode not specified,1.5,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 2:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 2:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,diiodomethane,118.5,118.5 +/- 2.1,none,reported contact angle; static/advancing/receding mode not specified,2.1,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:1 (FEP-S)","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,water,158.6,158.6 +/- 1.1,none,reported contact angle; static/advancing/receding mode not specified,1.1,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:1 (FEP-S)","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,glycerol,140.7,140.7 +/- 0.9,none,reported contact angle; static/advancing/receding mode not specified,0.9,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
