surface_group_id,source_group_id,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,sample_preparation_notes
SFC_00EE5242D2A3,SRC011,Si,other,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_02B9E44B3DAE,SDX010,smooth PIndole-6-F4 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-6-F4 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,7.8,10.1,,smooth PIndole-6-F4 film; smooth-film Table 4 roughness/contact angles
SFC_035481CA46C7,SRC011,PTFE,polymer,,plasma,"Treated with O2/Ar plasma, RIE method.",,smooth,,,,"Treated with O2/Ar plasma, RIE method."
SFC_04353B2CE787,SRC023,PMMA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_059D01259A34,SRC023,BR,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_086288EDF921,SDX008,PLA-C adsorption layer on PTFE,polymer,PTFE,PLA adsorption,PLA-C adsorption layer on PTFE; Table 4 contact angles for PLA interfacial adsorption study,PLA adsorption layer,smooth,,,,PLA-C adsorption layer on PTFE; Table 4 contact angles for PLA interfacial adsorption study
SFC_09D2365FF128,SRC023,PE,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_0C4EEBCACC30,SRC023,PVDF,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_0DD31A36BF54,SDX002,Pseudomonas aeruginosa microbial lawn,biomaterial,microbial lawn on membrane filter,hydrated_microbial_lawn,Pseudomonas aeruginosa microbial lawn; Table 2 microbial surface contact angles,,biological_surface,,,,Pseudomonas aeruginosa microbial lawn; Table 2 microbial surface contact angles
SFC_10C3C0102684,SRC010,PTFE,polymer,,plasma,"SDBD air plasma, 15 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_122E5AC99B75,SRC019,PLA/CBD,polymer,,other,PLA/CBD after 400 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_12E012885148,SDX006,CSDA/LA chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/LA chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/LA chitosan/dialdehyde film; Table 3
SFC_158AAEDEF9ED,SRC019,Topas,polymer,,untreated,Topas reference sample before weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_159FF1E1E160,SDX001,PMMA,polymer,PMMA,untreated,"PMMA; PMMA laser/GO/CBD surface, Table 3",,smooth,150.0,190.0,,"PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_15EC92D72DA3,SDX006,CSDA/GE chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/GE chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/GE chitosan/dialdehyde film; Table 3
SFC_179EF7E9B650,SRC011,CeO2,oxide,,untreated,"CeO2 (110) water contact angle from Berry Table 1, primary ref [27]",,smooth,,,,"CeO2 (110) water contact angle from Berry Table 1, primary ref [27]"
SFC_18B35400A3DF,SRC019,Topas/CBD,polymer,,other,Topas/CBD reference sample before weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
